산업,FROM_받는,TO_주는,NET,NET_p05,NET_p95
도소매업,76.67164616772789,111.89392194766877,35.33673922453661,12.842459359173855,56.88048487496121
기타 서비스업,74.90900038025396,105.46454970829984,30.980851279105735,7.296464153456829,56.615666904166495
"전문, 과학 및 기술관련 서비스업",77.34170159828267,107.68749088854628,30.1774342163164,7.917033450612427,57.81957055989494
"목재, 종이, 인쇄 및 복제업",76.16702534978637,100.24219839452769,23.650172491973827,3.6405502053818837,45.51457430897208
전기장비 제조업,73.3608001008568,93.28699843310419,20.2379898336361,-1.2377057594878123,44.810217392687214
기계 및 장비 제조업,76.87716843203083,97.03605316549783,20.014593634308646,-1.368593860940442,41.421489642692606
화학물질 및 화학제품 제조업,74.01479084058175,91.92403475529693,18.275474077838474,0.10758806725335816,40.11425110531347
비금속광물제품 제조업,76.04428509113829,93.84204652365355,17.797686221149462,-1.7268765668686394,39.22540786618683
1차금속 제조업,72.52429053987174,88.93040544914766,16.779465522148733,-1.5674701610620636,42.33575078001364
운수업,73.03842302306464,88.09538270538275,14.99727429994536,-1.2322361124698105,36.121575754424256
"출판, 방송, 영상, 정보서비스",65.84161226467396,79.40996063412992,14.06960648870119,-5.919459578443997,37.66435043153309
섬유 및 가죽제품 제조업,75.19013106929486,88.65151730240157,13.2922631728716,-3.4894006743744685,32.57468282065014
"예술, 스포츠 및 여가관련 서비스업",72.22904538309967,77.4506576363208,5.562608639926921,-11.301704000742044,29.729690082618944
운송장비 제조업,69.04496047042724,73.30812966384445,4.848336220050285,-11.295179080762772,23.719838855208675
기타 제조업 및 산업용 장비 수리업,70.43404454359703,72.50479108415055,2.338762388619429,-15.005455602717824,23.351044240648516
"의료, 보건업 및 사회복지서비스업",63.706619946369216,63.912902727248635,0.9545540739717282,-15.522784571619136,22.167167853185603
교육서비스업,71.39346429791817,68.93643685236643,-2.8315223689987903,-22.032423093263965,21.36117835436612
숙박 및 음식점업,67.32606740485352,59.65265709565008,-7.601595174706937,-25.655342427666184,12.525877854104486
금속가공제품 제조업,62.65339722722201,53.45404527726658,-8.531477324425179,-26.1027127591163,9.788492403467194
건축보수업,54.18891756225641,44.55577352107727,-8.963459330073515,-20.084142810319666,6.631260309889013
"컴퓨터, 전자 및 광학기기 제조업",61.59476548763247,51.915910415861745,-9.684882264049712,-26.987924776683347,8.478976969168206
주거용 건물 건설업,56.670594836842724,45.832868320760596,-10.640476662977576,-25.372564677993413,10.42109622288665
토목건설업,51.172999807824525,39.49550404153744,-11.137255361047178,-23.929807971740104,4.073231903045855
"수도, 하수 및 폐기물 처리, 원료 재생업",54.6132020068087,42.77166735368675,-11.879067430156756,-25.688657832870042,8.015509178157625
금융 및 보험업,61.695966036734035,49.119064203190135,-11.952168907036285,-27.580428184392957,4.505254703346536
코크스 및 석유정제품 제조업,50.548605294931505,38.30127999043085,-12.108986031526864,-23.10599286094858,0.8490627926201465
광업,57.239716850019704,44.88674896728952,-12.272764733133794,-23.762790506231063,3.267597551029307
음식료품 제조업,61.948091531339266,48.99544752645344,-12.62131238424221,-23.774697407047594,2.588194003739951
부동산업,61.112093841791015,44.12798402011403,-15.54603486022264,-33.18757414884562,5.7224473975895505
"가스, 증기 및 공기조절 공급업",65.70618397219825,48.69650290788598,-16.360806088724086,-34.38734483056202,2.7333082870274366
통신업,55.09152622807634,37.46380771574643,-17.08166372919125,-34.771790823827935,0.8812359515957033
사업지원 서비스업,64.90803831577588,46.04478747248759,-18.73429558952353,-33.71059590640383,-0.9223549693142187
"공공행정, 국방 및 사회보장",59.37029609264637,38.14759190061799,-20.91568975145974,-35.63380578363144,-0.6652811680169721
농림어업,58.63632520240145,35.782620182242255,-21.880289537202906,-34.36851277078052,-8.315922119831367
전기업,57.92528839369514,31.020623169657043,-26.947814497483566,-41.14239221417267,-14.5329853837126
비주거용 건물 건설업,63.20686182351271,29.971072422630066,-32.35526990099099,-47.080120497487066,-17.89032819107751
