시나리오,연도,oil_g,trd_g,d_rrate,rfx_g,lab_g
S1,2026,0.5,1.0,0.0,0.0,-0.249
S1,2027,0.5,1.0,0.0,0.0,-0.172
S1,2028,0.5,1.0,0.0,0.0,-0.234
S1,2029,0.5,1.0,0.0,0.0,-0.174
S1,2030,0.5,1.0,0.0,0.0,-0.229
S1,2031,0.5,1.0,0.0,0.0,-0.238
S1,2032,0.5,1.0,0.0,0.0,-0.27
S1,2033,0.5,1.0,0.0,0.0,-0.324
S1,2034,0.5,1.0,0.0,0.0,-0.422
S1,2035,0.5,1.0,0.0,0.0,-0.418
S2,2026,-2.75,-0.628,-0.429,2.246,-0.677
S2,2027,-0.75,-0.008,0.315,-0.53,-0.22
S2,2028,0.5,0.612,0.368,-1.042,-0.125
S2,2029,0.5,1.0,0.177,-0.568,-0.067
S2,2030,0.5,1.0,-0.001,-0.092,-0.217
S2,2031,0.5,1.0,-0.001,-0.012,-0.258
S2,2032,0.5,1.0,0.0,-0.002,-0.304
S2,2033,0.5,1.0,0.0,-0.0,-0.365
S2,2034,0.5,1.0,0.0,0.0,-0.466
S2,2035,0.5,1.0,0.0,0.0,-0.465
S3,2026,0.5,1.0,0.0,0.0,-0.208
S3,2027,0.5,1.0,0.0,0.0,-0.132
S3,2028,0.5,1.0,0.0,0.0,-0.193
S3,2029,0.5,1.0,0.0,0.0,-0.133
S3,2030,0.5,1.0,0.0,0.0,-0.188
S3,2031,0.5,1.0,0.0,0.0,-0.196
S3,2032,0.5,1.0,0.0,0.0,-0.228
S3,2033,0.5,1.0,0.0,0.0,-0.282
S3,2034,0.5,1.0,0.0,0.0,-0.378
S3,2035,0.5,1.0,0.0,0.0,-0.373
S4,2026,0.5,1.592,0.341,-1.741,0.024
S4,2027,0.5,1.464,-0.092,-0.027,-0.11
S4,2028,0.5,1.336,-0.115,0.338,-0.258
S4,2029,0.5,1.208,-0.111,0.38,-0.229
S4,2030,0.5,1.08,-0.111,0.374,-0.297
S4,2031,0.5,1.0,-0.09,0.308,-0.304
S4,2032,0.5,1.0,-0.071,0.232,-0.325
S4,2033,0.5,1.0,-0.034,0.113,-0.364
S4,2034,0.5,1.0,0.0,0.018,-0.437
S4,2035,0.5,1.0,0.0,0.003,-0.424
S5,2026,6.594,-0.428,-0.335,1.796,-0.574
S5,2027,2.844,0.244,0.363,-0.684,-0.136
S5,2028,0.5,0.874,0.32,-0.848,-0.075
S5,2029,0.5,1.0,0.032,-0.229,-0.094
S5,2030,0.5,1.0,-0.003,-0.029,-0.199
S5,2031,0.5,1.0,0.0,-0.005,-0.226
S5,2032,0.5,1.0,0.0,-0.0,-0.265
S5,2033,0.5,1.0,0.0,0.0,-0.322
S5,2034,0.5,1.0,0.0,0.0,-0.421
S5,2035,0.5,1.0,0.0,0.0,-0.418
